No.	Name	Rtg	FED	1.Rd	2.Rd	3.Rd	4.Rd	5.Rd	6.Rd	7.Rd	8.Rd	9.Rd	10.Rd	11.Rd	Pts. 	Rk.	TB1	TB2	TB3	TB4
1	Caruana Fabiano 	2786	USA	 58b1	 42w1	 72b½	 46w½	 32b½	 57w1	 41b½	 39w1	 20w½	  2b0	 12w½	7	10	2684	67.5	72.5	0
2	Nakamura Hikaru 	2780	USA	 59w½	 61b½	 65w1	 31b1	 33w1	 32b½	 47w½	 15b½	 44w1	  1w1	 16b½	8	2	2687	67	71.5	0
3	Firouzja Alireza 	2777	FRA	 60b½	 62w1	111w½	 35b1	 42w½	 23b½	 33w½	 21b0	 56w½	 51b½	 81w½	6	39	2662	60	64.5	0
4	Giri Anish 	2760	NED	 61w½	 59b1	 39w½	 41b½	 45w½	111b½	 49w½	 63b½	 62w1	 42b1	 32w1	7.5	7	2657	62	66.5	0
5	Gukesh D 	2758	IND	 62b½	 60w½	 54b½	 58w½	 52b0	 92w0	 99b1	 78w½	 94b0	 96w½	 95w1	5	81	2618	54.5	57.5	0
6	Rapport Richard 	2752	ROU	 63w1	 39b½	 43w½	 42b0	 59w1	 48b½	 51w1	 33b0	 80w0	 62b½	 65w1	6	42	2655	61	65.5	0
7	Aronian Levon 	2742	USA	 64b1	 44w½	 46b0	 60w½	 54b½	 68w1	 52b1	 42w½	 41b½	 80w½	 39b½	6.5	23	2653	61.5	66	0
8	Praggnanandhaa R 	2738	IND	 65w½	 69b½	 61w½	 63b½	 85w½	 70b½	 84w1	 81b½	 93w1	 45b½	 20w1	7	13	2637	56.5	60.5	0
9	Vachier-Lagrave Maxime 	2727	FRA	 66b½	 74w½	 60b½	 70w½	 58b0	 67w1	 79b1	 54w1	 46b½	 41w½	 44b½	6.5	27	2644	59.5	64	0
10	Duda Jan-Krzysztof 	2726	POL	 67w1	 47b0	 69w1	 39b½	 51w½	 63b½	 53w1	 44b0	111w1	 49b½	 45w1	7	11	2650	60	64.5	0
11	Yu Yangyi 	2720	CHN	 68b1	 48w½	 44b½	 52w1	 46b½	 16w½	 39b0	 57w½	 58b½	 94w½	 56b½	6	41	2658	63.5	68.5	0
12	Keymer Vincent 	2717	GER	 69w½	 65b½	 67w1	 43b1	 47w½	 81b½	 45w1	 32b0	 25w1	 27w1	  1b½	7.5	5	2673	63	67.5	0
13	Abdusattorov Nodirbek 	2716	UZB	 70b1	 52w½	 48b½	 44w½	 53b½	 56w½	 57b½	 58w½	 66b1	 46w½	 75b1	7	12	2648	61	65.5	0
14	Harikrishna Pentala 	2716	IND	 71w½	 77b0	 83w½	112w1	 60b½	 65b½	 69w½	 93b½	 53w1	 56b½	 63w0	5.5	62	2629	52	56	0
15	Vidit Santosh Gujrathi 	2716	IND	 72b0	 84w1	 68b1	 48w1	 57b½	 42w1	 46b1	  2w½	 32w½	 20b1	 47w1	8.5	1	2671	64	68	0
16	Erigaisi Arjun 	2712	IND	 73w1	 49b1	 33w½	 47b½	 93w1	 11b½	 32w½	 75w½	 27b½	 21b1	  2w½	7.5	4	2681	66	71	0
17	Vitiugov Nikita 	2711	ENG	 74b½	 66w1	 52b½	 56w½	 44b½	 53w½	 72b1	 46w½	 42b½	 88w1	 18b0	6.5	24	2653	60.5	65	0
18	Maghsoodloo Parham 	2707	IRI	 75w1	 53b½	 45w½	 57b0	 61w1	 51b½	 56w1	 80b1	 33w1	 32b0	 17w1	7.5	6	2660	62.5	67	0
19	Van Foreest Jorden 	2707	NED	 76b½	 80w0	 78b½	 73w0	 98b1	 66w0	100b1	109b1	 65w½	 70w0	 92b½	5	84	2611	54.5	58	0
20	Deac Bogdan-Daniel 	2701	ROU	 77w½	 71b1	 53w½	 45b½	 75w½	 93b1	 81w1	 41w1	  1b½	 15w0	  8b0	6.5	20	2671	62	66.5	0
21	Sevian Samuel 	2698	USA	 78b1	 56w½	 80b1	 72w½	111b½	 46w0	 92b1	  3w1	 75b½	 16w0	 41b½	6.5	22	2654	61	66	0
22	Shankland Sam 	2698	USA	 79w½	 83b1	 57w½	 53b½	 77w1	 47b0	 63w½	111b½	 81w0	 65b½	 69w½	5.5	61	2633	56.5	60.5	0
23	Artemiev Vladislav 	2697	FID	 80b½	 76w½	 73b1	 86w1	 72b½	  3w½	 75b0	 66w½	 57b½	 48w1	 46b0	6	43	2649	59.5	64.5	0
24	Martirosyan Haik M. 	2696	ARM	 81w1	 57b½	 77w½	 93b0	 63w0	 83b½	 87w½	 84b½	 78w½	111b½	 74w½	5	82	2618	53	57	0
25	Nihal Sarin 	2694	IND	 82b½	 92w½	 74b½	 80w1	 56b½	 52w½	 73b½	 86w1	 12b0	 57w½	 58b½	6	45	2640	59.5	64.5	0
26	Xiong Jeffery 	2693	USA	 83w½	 79b½	 81w½	 61b½	 69w½	 77b0	 95w½	 85b1	 88b0	 74w½	 76b0	4.5	93	2620	52.5	56.5	0
27	Fedoseev Vladimir 	2691	SLO	 84b1	 72w0	 76b1	 94w½	 79b½	 58w1	111w1	 47b½	 16w½	 12b0	 49w½	6.5	26	2645	61.5	65.5	0
28	Grandelius Nils 	2689	SWE	 85w½	 95b1	 86w½	 77b½	 81w0	 69b½	 65w½	 62b0	 90w½	 78b½	 97w½	5	83	2615	53	57	0
29	Navara David 	2689	CZE	 86b0	 87w1	 92b½	 74w½	 68b½	 73w0	 78b½	 79w1	 54b½	 66w½	 60b½	5.5	63	2625	54	59	0
30	Sargissian Gabriel 	2686	ARM	 87w1	 86b½	103w0	 75b0	 88b½	 78w½	 68b1	 64w½	 72b½	 73w½	 66b½	5.5	65	2621	53	57	0
31	Tabatabaei M. Amin 	2685	IRI	 88b1	 94w½	 56b½	  2w0	 70b½	 74w½	 66b0	 83w1	 64b1	 52w½	 57b½	6	44	2647	59	63	0
32	Esipenko Andrey 	2683	FID	 89w1	 93b1	 47w½	103b1	  1w½	  2w½	 16b½	 12w1	 15b½	 18w1	  4b0	7.5	3	2702	70	74	0
33	Sarana Alexey 	2682	SRB	 90b1	112w1	 16b½	111w½	  2b0	 79w1	  3b½	  6w1	 18b0	 44w½	 80b½	6.5	21	2666	64	68.5	0
34	Amin Bassem 	2680	EGY	 91w1	111b0	 79w½	 81b0	 84w½	 87b½	 97w½	 90b½	109w½	 95b1	 93w1	6	51	2586	51	55	0
35	Abasov Nijat 	2679	AZE	 92b½	 82w1	 94b½	  3w0	 73b½	 88w½	 74b½	 70w0	 95b½	 76w½	 79b0	4.5	90	2629	56	60	0
36	Donchenko Alexander 	2676	GER	 93w0	 89b½	 95w1	 79b0	 90w0	101b½	105w½	104b½	 91w½	 97b0	 84w½	4	106	2587	47.5	51	0
37	Matlakov Maxim 	2674	FID	 94b0	 88w½	 82b1	 92w½	 74b½	 80w0	 91b1	 72w½	 86b1	 58w½	 52b½	6	49	2617	56.5	61	0
38	Shevchenko Kirill 	2671	ROU	 95w½	 85b½	 93w0	 83b½	 91w½	 84b0	101w½	105b1	 97w1	 63b½	 90w½	5.5	66	2595	47.5	51	0
39	Bacrot Etienne 	2669	FRA	 96b1	  6w½	  4b½	 10w½	 94b½	 86w1	 11w1	  1b0	 47w½	 81b½	  7w½	6.5	18	2695	65	69.5	0
40	Bluebaum Matthias 	2668	GER	 97w½	103b0	 89w1	 85b½	 96w1	 75b0	 70w½	 65b½	 77w½	 69b½	109w1	6	50	2606	50.5	54.5	0
41	Wojtaszek Radoslaw 	2668	POL	 98b½	100w½	102b1	  4w½	103b1	 72w1	  1w½	 20b0	  7w½	  9b½	 21w½	6.5	19	2674	59.5	63	0
42	Niemann Hans Moke 	2667	USA	 99w1	  1b0	 97w1	  6w1	  3b½	 15b0	109w1	  7b½	 17w½	  4w0	 70b½	6	29	2702	64	67	0
43	Volokitin Andrei 	2664	UKR	100b½	 98w1	  6b½	 12w0	 86b0	 91w½	 96b1	 74w½	 92b½	 72w1	 88b½	6	48	2626	54.5	58	0
44	Cheparinov Ivan 	2658	BUL	101w1	  7b½	 11w½	 13b½	 17w½	109b½	 77w1	 10w1	  2b0	 33b½	  9w½	6.5	17	2698	64	69	0
45	Korobov Anton 	2658	UKR	102b½	108w1	 18b½	 20w½	  4b½	 94w1	 12b0	 88w½	 73b1	  8w½	 10b0	6	37	2672	65.5	70	0
46	Sindarov Javokhir 	2658	UZB	103w½	107b1	  7w1	  1b½	 11w½	 21b1	 15w0	 17b½	  9w½	 13b½	 23w1	7	8	2707	64.5	68	0
47	Predke Alexandr 	2656	SRB	104b1	 10w1	 32b½	 16w½	 12b½	 22w1	  2b½	 27w½	 39b½	 75w1	 15b0	7	9	2702	70.5	75	0
48	Shirov Alexei 	2655	ESP	105w1	 11b½	 13w½	 15b0	 99w1	  6w½	 80b0	 69b1	 63w½	 23b0	111w1	6	40	2660	60.5	63.5	0
49	Anton Guijarro David 	2653	ESP	106b1	 16w0	100b½	 88w½	 92b½	103w1	  4b½	 73w½	 70b1	 10w½	 27b½	6.5	25	2646	62	66	0
50	Ivanchuk Vasyl 	2653	UKR	107w½	 97b½	 85w½	 96b½	109w0	 95b½	 83w½	 87b0	108w1	 90b0	101w0	4	108	2576	46.5	50	0
51	Bartel Mateusz 	2651	POL	108b½	102w½	112b½	100w1	 10b½	 18w½	  6b0	 92w½	 74b1	  3w½	 94b½	6	46	2640	57.5	62	0
52	Narayanan S L 	2651	IND	109w1	 13b½	 17w½	 11b0	  5w1	 25b½	  7w0	 77b½	 87w1	 31b½	 37w½	6	32	2692	59	64	0
53	Melkumyan Hrant 	2650	ARM	110b1	 18w½	 20b½	 22w½	 13w½	 17b½	 10b0	 94w½	 14b0	 86w½	106b0	4.5	86	2670	62.5	66.5	0
54	Pichot Alan 	2650	ESP	111w0	 91b1	  5w½	109b½	  7w½	 85b½	 90w1	  9b0	 29w½	 93b½	 77w1	6	47	2640	53.5	57.5	0
55	Santos Latasa Jaime 	2650	ESP	112b0	 90w½	 88b0	102w½	106b1	 96w½	103b0	 82w½	 83b½	100w½	104b½	4.5	97	2577	49.5	53.5	0
56	Aravindh Chithambaram Vr. 	2649	IND	113w1	 21b½	 31w½	 17b½	 25w½	 13b½	 18b0	103w1	  3b½	 14w½	 11w½	6	30	2698	61	64.5	0
57	Najer Evgeniy 	2648	FID	114b1	 24w½	 22b½	 18w1	 15w½	  1b0	 13w½	 11b½	 23w½	 25b½	 31w½	6	28	2712	64.5	66	0
58	Saric Ivan 	2647	CRO	  1w0	 99b½	101w1	  5b½	  9w1	 27b0	 85w1	 13b½	 11w½	 37b½	 25w½	6	31	2694	59	62	0
59	Svane Rasmus 	2646	GER	  2b½	  4w0	 90b½	 76w1	  6b0	 99w1	 86b0	 95w½	101b½	 87w0	 96b½	4.5	88	2645	56.5	59.5	0
60	Ponomariov Ruslan 	2641	UKR	  3w½	  5b½	  9w½	  7b½	 14w½	 90b½	 93w0	 97b½	 84w1	 77b½	 29w½	5.5	54	2681	55.5	59.5	0
61	Sadhwani Raunak 	2641	IND	  4b½	  2w½	  8b½	 26w½	 18b0	102w1	 88b0	112w½	103b1	 92w½	 73b½	5.5	60	2661	61	65	0
62	Mamedov Rauf 	2640	AZE	  5w½	  3b0	 99w½	 97b½	 95b½	112w1	 94b½	 28w1	  4b0	  6w½	 87b1	6	38	2665	54	57	0
63	Yilmaz Mustafa 	2640	TUR	  6b0	 96w½	 98b1	  8w½	 24b1	 10w½	 22b½	  4w½	 48b½	 38w½	 14b1	6.5	16	2699	59.5	63	0
64	Warmerdam Max 	2636	NED	  7w0	101b½	107w½	 99b0	 89w1	 97b½	104w1	 30b½	 31w0	109b0	108w½	4.5	95	2602	50	53	0
65	Aryan Chopra 	2634	IND	  8b½	 12w½	  2b0	 78w½	100b1	 14w½	 28b½	 40w½	 19b½	 22w½	  6b0	5	68	2708	60.5	65.5	0
66	Gledura Benjamin 	2633	HUN	  9w½	 17b0	109w0	101b½	107w1	 19b1	 31w1	 23b½	 13w0	 29b½	 30w½	5.5	58	2671	58	61.5	0
67	Idani Pouya 	2633	IRI	 10b0	104w1	 12b0	 90w½	102b½	  9b0	107w½	 96w½	 82b½	103w1	 86b0	4.5	92	2623	55	58.5	0
68	Kollars Dmitrij 	2633	GER	 11w0	105b1	 15w0	107b1	 29w½	  7b0	 30w0	108b½	104w1	0	0	4	105	2632	52	56	0
69	Murzin Volodar 	2633	FID	 12b½	  8w½	 10b0	110w1	 26b½	 28w½	 14b½	 48w0	112b1	 40w½	 22b½	5.5	56	2676	58.5	62.5	0
70	Sargsyan Shant 	2631	ARM	 13w0	109b½	113w1	  9b½	 31w½	  8w½	 40b½	 35b1	 49w0	 19b1	 42w½	6	36	2673	59.5	63	0
71	Henriquez Villagra Cristobal 	2630	CHI	 14b½	 20w0	 96b0	 98w½	108b½	100w½	102b½	101w0	106b0	114w1	113b1	4.5	99	2561	48.5	50	0
72	L'ami Erwin 	2627	NED	 15w1	 27b1	  1w½	 21b½	 23w½	 41b0	 17w0	 37b½	 30w½	 43b0	 78w½	5	70	2699	65	70	0
73	Svane Frederik 	2626	GER	 16b0	106w1	 23w0	 19b1	 35w½	 29b1	 25w½	 49b½	 45w0	 30b½	 61w½	5.5	53	2682	59	63.5	0
74	Durarbayli Vasif 	2625	AZE	 17w½	  9b½	 25w½	 29b½	 37w½	 31b½	 35w½	 43b½	 51w0	 26b½	 24b½	5	72	2691	58	62.5	0
75	Kuzubov Yuriy 	2625	UKR	 18b0	110w½	108b1	 30w1	 20b½	 40w1	 23w1	 16b½	 21w½	 47b0	 13w0	6	34	2676	64	68	0
76	Mendonca Leon Luke 	2622	IND	 19w½	 23b½	 27w0	 59b0	101w½	105b½	108w½	107b½	113w1	 35b½	 26w1	5.5	64	2625	47.5	51	0
77	Tari Aryan 	2619	NOR	 20b½	 14w1	 24b½	 28w½	 22b0	 26w1	 44b0	 52w½	 40b½	 60w½	 54b0	5	73	2682	57.5	62	0
78	Theodorou Nikolas 	2619	GRE	 21w0	113b½	 19w½	 65b½	 97w½	 30b½	 29w½	  5b½	 24b½	 28w½	 72b½	5	74	2676	52.5	56	0
79	Nguyen Thai Dai Van 	2618	CZE	 22b½	 26w½	 34b½	 36w1	 27w½	 33b0	  9w0	 29b0	107w½	101b1	 35w1	5.5	55	2678	54.5	58	0
80	Ter-Sahakyan Samvel 	2618	ARM	 23w½	 19b1	 21w0	 25b0	105w1	 37b1	 48w1	 18w0	  6b1	  7b½	 33w½	6.5	15	2701	62	65.5	0
81	Yakubboev Nodirbek 	2616	UZB	 24b0	114w1	 26b½	 34w1	 28b1	 12w½	 20b0	  8w½	 22b1	 39w½	  3b½	6.5	14	2706	59.5	61	0
82	Iturrizaga Bonelli Eduardo 	2615	ESP	 25w½	 35b0	 37w0	105b0	114w1	104b0	 98w1	 55b½	 67w½	 91b½	110w1	5	85	2603	45.5	47	0
83	Karthikeyan Murali 	2611	IND	 26b½	 22w0	 14b½	 38w½	112b½	 24w½	 50b½	 31b0	 55w½	102w½	100b0	4	103	2659	51	55	0
84	Gupta Abhijeet 	2609	IND	 27w0	 15b0	110b½	104w1	 34b½	 38w1	  8b0	 24w½	 60b0	106w0	 36b½	4	102	2659	58	62	0
85	Mareco Sandro 	2606	ARG	 28b½	 38w½	 50b½	 40w½	  8b½	 54w½	 58b0	 26w0	 96b½	112w½	102b0	4	104	2655	54	58	0
86	Huschenbeth Niclas 	2605	GER	 29w1	 30w½	 28b½	 23b0	 43w1	 39b0	 59w1	 25b0	 37w0	 53b½	 67w1	5.5	57	2676	55.5	60	0
87	Bachmann Axel 	2604	PAR	 30b0	 29b0	105w½	106w½	110b1	 34w½	 24b½	 50w1	 52b0	 59b1	 62w0	5	79	2641	52	55.5	0
88	Petrosyan Manuel 	2604	ARM	 31w0	 37b½	 55w1	 49b½	 30w½	 35b½	 61w1	 45b½	 26w1	 17b0	 43w½	6	35	2675	57	61.5	0
89	Sanal Vahap 	2603	TUR	 32b0	 36w½	 40b0	108w½	 64b0	110w1	112b0	100w½	102b½	113w½	107b1	4.5	98	2570	48.5	52	0
90	Mishra Abhimanyu 	2592	USA	 33w0	 55b½	 59w½	 67b½	 36b1	 60w½	 54b0	 34w½	 28b½	 50w1	 38b½	5.5	59	2664	52	56	0
91	Wagner Dennis 	2589	GER	 34b0	 54w0	106b½	113w1	 38b½	 43b½	 37w0	102w½	 36b½	 82w½	112b½	4.5	94	2613	53.5	57	0
92	Suleymanli Aydin 	2588	AZE	 35w½	 25b½	 29w½	 37b½	 49w½	  5b1	 21w0	 51b½	 43w½	 61b½	 19w½	5.5	52	2687	58	62.5	0
93	Jumabayev Rinat 	2585	KAZ	 36b1	 32w0	 38b1	 24w1	 16b0	 20w0	 60b1	 14w½	  8b0	 54w½	 34b0	5	71	2692	62	66	0
94	Kuybokarov Temur 	2584	AUS	 37w1	 31b½	 35w½	 27b½	 39w½	 45b0	 62w½	 53b½	  5w1	 11b½	 51w½	6	33	2684	58.5	63	0
95	Akobian Varuzhan 	2582	USA	 38b½	 28w0	 36b0	114b1	 62w½	 50w½	 26b½	 59b½	 35w½	 34w0	  5b0	4	100	2679	49	50.5	0
96	Dardha Daniel 	2580	BEL	 39w0	 63b½	 71w1	 50w½	 40b0	 55b½	 43w0	 67b½	 85w½	  5b½	 59w½	4.5	87	2661	52	56	0
97	Vokhidov Shamsiddin 	2578	UZB	 40b½	 50w½	 42b0	 62w½	 78b½	 64w½	 34b½	 60w½	 38b0	 36w1	 28b½	5	75	2662	53.5	57.5	0
98	Fier Alexandr 	2574	BRA	 41w½	 43b0	 63w0	 71b½	 19w0	108w½	 82b0	 99b½	110w0	-1	114b½	3.5	112	2569	48.5	50	0
99	Amar Elham 	2568	NOR	 42b0	 58w½	 62b½	 64w1	 48b0	 59b0	  5w0	 98w½	100b0	110b0	0	2.5	113	2624	50.5	53	0
100	Kozak Adam 	2566	HUN	 43w½	 41b½	 49w½	 51b0	 65w0	 71b½	 19w0	 89b½	 99w1	 55b½	 83w1	5	77	2647	52.5	55.5	0
101	Parligras Mircea-Emilian 	2561	ROU	 44b0	 64w½	 58b0	 66w½	 76b½	 36w½	 38b½	 71b1	 59w½	 79w0	 50b1	5	78	2647	52	56	0
102	Lazavik Denis 	2560	FID	 45w½	 51b½	 41w0	 55b½	 67w½	 61b0	 71w½	 91b½	 89w½	 83b½	 85w1	5	80	2635	50.5	54.5	0
103	Maurizzi Marc`andria 	2555	FRA	 46b½	 40w1	 30b1	 32w0	 41w0	 49b0	 55w1	 56b0	 61w0	 67b0	105b½	4	101	2659	59.5	63	0
104	Adhiban B. 	2551	IND	 47w0	 67b0	114w½	 84b0	113b1	 82w1	 64b0	 36w½	 68b0	107w1	 55w½	4.5	96	2594	45.5	47	0
105	Fawzy Adham 	2535	EGY	 48b0	 68w0	 87b½	 82w1	 80b0	 76w½	 36b½	 38w0	114b½	108b0	103w½	3.5	110	2616	51	52.5	0
106	Krasenkow Michal 	2531	POL	 49w0	 73b0	 91w½	 87b½	 55w0	107b0	113b½	114w1	 71w1	 84b1	 53w1	5.5	67	2585	46	47.5	0
107	Samunenkov Ihor 	2531	UKR	 50b½	 46w0	 64b½	 68w0	 66b0	106w1	 67b½	 76w½	 79b½	104b0	 89w0	3.5	109	2624	52	56	0
108	Gurel Ediz 	2514	TUR	 51w½	 45b0	 75w0	 89b½	 71w½	 98b½	 76b½	 68w½	 50b0	105w1	 64b½	4.5	91	2629	49.5	53	0
109	Rodrigue-Lemieux Shawn 	2488	CAN	 52b0	 70w½	 66b1	 54w½	 50b1	 44w½	 42b0	 19w0	 34b½	 64w1	 40b0	5	76	2660	57.5	61.5	0
110	Greenfeld Alon 	2455	ISR	 53w0	 75b½	 84w½	 69b0	 87w0	 89b0	114w1	113b0	 98b1	 99w1	 82b0	4	107	2578	44.5	46	0
111	Zhalmakhanov Ramazan 	2447	KAZ	 54b1	 34w1	  3b½	 33b½	 21w½	  4w½	 27b0	 22w½	 10b0	 24w½	 48b0	5	69	2706	63.5	68.5	0
112	Royal Shreyas 	2407	ENG	 55w1	 33b0	 51w½	 14b0	 83w½	 62b0	 89w1	 61b½	 69w0	 85b½	 91w½	4.5	89	2643	52.5	56.5	0
113	Wu Li 	2303	IOM	 56b0	 78w½	 70b0	 91b0	104w0	114b1	106w½	110w1	 76b0	 89b½	 71w0	3.5	111	2588	50	51.5	0
114	Kolbus Dietmar 	2225	IOM	 57w0	 81b0	104b½	 95w0	 82b0	113w0	110b0	106b0	105w½	 71b0	 98w½	1.5	114	2574	47	50.5	0
