No.	Rtg	Name	FED	1.Rd	2.Rd	3.Rd	4.Rd	5.Rd	Rk.	Pts.	TB2	TB3	TB4	TB5
1	1762	Dray-Pearce Tristan 	ENG	 16w1	 17b0	   -½	 22b1	  6w0	13	2.5	0	8.5	14.5	6.25
2	1759	Matthew Ian G 	ENG	 17b0	 22b½	 11w1	 23w½	0	20	2	0	6	14	4.75
3	1763	Menseitov Alikhan 	ENG	 18w1	 20b½	 24w0	0	0	23	1.5	0	7	12.5	1.75
4	1631	Belinger John 	ENG	 19b½	 10w½	 23b½	 21w½	 15b0	18	2	0	7	13	5
5	1656	Basher Ekramul 	ENG	 20w0	 18b1	 15w1	 17b1	 24w0	6	3	0	9	13.5	7
6	1691	Williams Peter 	ENG	   -½	 19w½	 26b1	 27w½	  1b1	5	3.5	0	9.5	10.5	7
7	1651	Baxter Martin 	ENG	 21b0	 23w0	 18b1	 15w0	0	25	1	0	3	11	0.5
8	1733	Mcclatchey Rob 	ENG	 22w½	 13b½	 19w½	  9b½	 20w1	7	3	0	8	11.5	7
9	1616	Warner Nicholas 	ENG	 23b1	 21w½	 14b0	  8w½	 11b½	12	2.5	0	8.5	14.5	6.75
10	1402	Sellen John R 	ENG	   -½	  4b½	 22w½	 19b½	0	19	2	0	7	12	4.5
11	1701	Devlin Liam 	ENG	 24w0	   -½	  2b0	 26b1	  9w½	22	2	0	4.5	12	3.25
12	1686	Sopocko Austin 	ENG	 25b1	 27w1	 17w½	 24b½	 14b½	3	3.5	0	12	15	9.25
13	1535	Cutter Tim G 	ENG	   -½	  8w½	 27b0	 16b0	 26w1	21	2	0	5.5	11.5	3.75
14	1680	Read Brandan 	ENG	 26w1	 24b½	  9w1	 20b1	 12w½	1	4	0	12.5	13.5	9.75
15	1730	Archer-Lock Helen 	ENG	 27b0	 25w1	  5b0	  7b1	  4w1	9	3	0	7	10	4.5
16	1651	Stevens Chris A 	ENG	  1b0	 26w0	 25b1	 13w1	 21b½	16	2.5	0	5.5	9	4.25
17	1632	Jackson Lewis 	ENG	  2w1	  1w1	 12b½	  5w0	 27b1	4	3.5	0	11.5	14	9.25
18	1608	Moore John 	ENG	  3b0	  5w0	  7w0	-1	 22b0	26	1	0	2	10	0.5
19	1614	Stout Nicholas B 	ENG	  4w½	  6b½	  8b½	 10w½	 23b0	17	2	0	7	14	5.5
20	1678	Walters Philip J 	ENG	  5b1	  3w½	 21b1	 14w0	  8b0	10	2.5	0	10	15	6.75
21	1639	Ekram Itmam 	ENG	  7w1	  9b½	 20w0	  4b½	 16w½	14	2.5	0	8.5	11	5
22	1604	Adams Robert 	ENG	  8b½	  2w½	 10b½	  1w0	 18w1	15	2.5	0	7	11	4.5
23	1603	Williamson Oliver 	ENG	  9w0	  7b1	  4w½	  2b½	 19w1	8	3	0	7.5	10.5	5.75
24	1592	Coles Rob 	ENG	 11b1	 14w½	  3b1	 12w½	  5b1	2	4	0	12	15	11.25
25	1611	Huang Weidan 	ENG	 12w0	 15b0	 16w0	0	0	27	0	0	0	11.5	0
26	1369	Goode Roy 	ENG	 14b0	 16b1	  6w0	 11w0	 13b0	24	1	0	4	14	2.5
27	0	Nobleza Dwayne 	ENG	 15w1	 12b0	 13w1	  6b½	 17w0	11	2.5	0	9	15.5	6.75